taxon,s.1,s.2,group,stat,p.value,survey,p_adj
Climacium dendroides,1,0,1,0.38851434494290565,0.001,first,0.008987804878048782
Rhytidiadelphus squarrosus,1,0,1,0.5200387019946948,0.001,first,0.008987804878048782
Calliergon giganteum,1,0,1,0.38033417944002146,0.001,first,0.008987804878048782
Hylocomium splendens,1,0,1,0.4823944470199914,0.001,first,0.008987804878048782
Salix arctica,0,1,2,0.6797399138241037,0.001,last,0.008987804878048782
Sphagnum teres,1,0,1,0.46917564532222045,0.001,first,0.008987804878048782
Tomentypnum nitens,1,0,1,0.41964345453112645,0.001,first,0.008987804878048782
Festuca richardsonii,0,1,2,0.45218598022333273,0.001,last,0.008987804878048782
Blepharostoma trichophyllum,1,0,1,0.4270713489651562,0.001,first,0.008987804878048782
Calliergon richardsonii,1,0,1,0.28593881563947937,0.001,first,0.008987804878048782
Campylium stellatum,1,0,1,0.3719741656005345,0.001,first,0.008987804878048782
Oncophorus wahlenbergii,1,0,1,0.40437855108625176,0.001,first,0.008987804878048782
Ptilidium ciliare,1,0,1,0.38851434494290565,0.001,first,0.008987804878048782
Sanionia uncinata,1,0,1,0.7137464271463297,0.001,first,0.008987804878048782
Scorpidium revolvens,1,0,1,0.41964345453112645,0.001,first,0.008987804878048782
Sphagnum warnstorfii,1,0,1,0.3546634510659543,0.001,first,0.008987804878048782
Straminergon stramineum,1,0,1,0.4624245646453283,0.001,first,0.008987804878048782
Polytrichum commune,1,0,1,0.32698354544794866,0.001,first,0.008987804878048782
Dicranum scoparium,1,0,1,0.33646329245522655,0.001,first,0.008987804878048782
Euphrasia frigida,1,0,1,0.5035822576324076,0.001,first,0.008987804878048782
Cinclidium stygium,1,0,1,0.33646329245522655,0.001,first,0.008987804878048782
Peltigera canina,1,0,1,0.3719741656005345,0.001,first,0.008987804878048782
Philonotis tomentella,1,0,1,0.34568317191600745,0.001,first,0.008987804878048782
Rhytidiadelphus loreus,1,0,1,0.2507849312877596,0.001,first,0.008987804878048782
Baeomyces rufus,1,0,1,0.32698354544794866,0.001,first,0.008987804878048782
Bartramia ithyphylla,1,0,1,0.3965257928590721,0.001,first,0.008987804878048782
Biatora subduplex,1,0,1,0.28593881563947937,0.001,first,0.008987804878048782
Cephalozia bicuspidata,1,0,1,0.38851434494290565,0.001,first,0.008987804878048782
Cephaloziella varians,1,0,1,0.34568317191600745,0.001,first,0.008987804878048782
Cladonia borealis,1,0,1,0.3071475584169756,0.001,first,0.008987804878048782
Cladonia stricta,1,0,1,0.32698354544794866,0.001,first,0.008987804878048782
Dicranella subulata,1,0,1,0.33646329245522655,0.001,first,0.008987804878048782
Dicranoweisia crispula,1,0,1,0.27472112789737807,0.001,first,0.008987804878048782
Lecanora polytropa,1,0,1,0.31722063428725766,0.001,first,0.008987804878048782
Peltigera rufescens,1,0,1,0.38033417944002146,0.001,first,0.008987804878048782
Pohlia filum,1,0,1,0.4343722427630694,0.001,first,0.008987804878048782
Polytrichum juniperinum,1,0,1,0.29673273237950815,0.001,first,0.008987804878048782
Porpidia melinodes,1,0,1,0.32698354544794866,0.001,first,0.008987804878048782
Racomitrium fasciculare,1,0,1,0.31722063428725766,0.001,first,0.008987804878048782
Stereocaulon alpinum,1,0,1,0.3634218921558155,0.001,first,0.008987804878048782
Stereocaulon arcticum,1,0,1,0.28593881563947937,0.001,first,0.008987804878048782
Stereocaulon vesuvianum,1,0,1,0.33646329245522655,0.001,first,0.008987804878048782
Nardia geoscyphus,1,0,1,0.38033417944002146,0.001,first,0.008987804878048782
Ochrolechia frigida,1,0,1,0.3719741656005345,0.001,first,0.008987804878048782
Poa alpina,1,0,1,0.40535413405075765,0.001,first,0.008987804878048782
Pohlia cruda,1,0,1,0.3071475584169756,0.001,first,0.008987804878048782
Rhizocarpon geographicum,1,0,1,0.2630254549223457,0.001,first,0.008987804878048782
Bryum sp.,1,0,1,0.3071475584169756,0.001,first,0.008987804878048782
Poa glauca,1,0,1,0.3718025733056453,0.001,first,0.008987804878048782
Juncus biglumis,1,0,1,0.29057152026908606,0.001,first,0.008987804878048782
Philonotis fontana,1,0,1,0.34568317191600745,0.001,first,0.008987804878048782
Warnstorfia exannulata,1,0,1,0.2630254549223457,0.001,first,0.008987804878048782
Ceratodon purpureus,1,0,1,0.32698354544794866,0.001,first,0.008987804878048782
Dichodontium pellucidum,1,0,1,0.38033417944002146,0.001,first,0.008987804878048782
Distichium capillaceum,1,0,1,0.3071475584169756,0.001,first,0.008987804878048782
Polytrichum alpinum,1,0,1,0.35688243069711423,0.001,first,0.008987804878048782
Warnstorfia sarmentosa,1,0,1,0.38033417944002146,0.001,first,0.008987804878048782
Cephaloziella divaricata,1,0,1,0.2630254549223457,0.001,first,0.008987804878048782
Aulacomnium palustre,1,0,1,0.33646329245522655,0.001,first,0.008987804878048782
Calliergonella cuspidata,1,0,1,0.34568317191600745,0.001,first,0.008987804878048782
Plagiomnium ellipticum,1,0,1,0.34568317191600745,0.001,first,0.008987804878048782
Cephaloziella sp.,1,0,1,0.28593881563947937,0.001,first,0.008987804878048782
Scorpidium cossonii,1,0,1,0.3719741656005345,0.001,first,0.008987804878048782
Drepanocladus polygamus,1,0,1,0.29673273237950815,0.001,first,0.008987804878048782
Scapania irrigua,1,0,1,0.4343722427630694,0.001,first,0.008987804878048782
Cephalozia pleniceps,1,0,1,0.3546634510659543,0.001,first,0.008987804878048782
Meesia uliginosa,1,0,1,0.3546634510659543,0.001,first,0.008987804878048782
Oncophorus virens,1,0,1,0.38033417944002146,0.001,first,0.008987804878048782
Paludella squarrosa,1,0,1,0.3071475584169756,0.001,first,0.008987804878048782
Polytrichastrum alpinum,1,0,1,0.27472112789737807,0.001,first,0.008987804878048782
Sarmentypnum sarmentosum,1,0,1,0.2507849312877596,0.001,first,0.008987804878048782
Cladonia arbuscula ssp. mitis,1,0,1,0.28593881563947937,0.001,first,0.008987804878048782
Barbilophozia hatcheri,1,0,1,0.31722063428725766,0.001,first,0.008987804878048782
Cladonia pocillum,1,0,1,0.38033417944002146,0.001,first,0.008987804878048782
Pleurozium schreberi,1,0,1,0.31722063428725766,0.001,first,0.008987804878048782
Aneura pinguis,1,0,1,0.2507849312877596,0.001,first,0.008987804878048782
Cladonia arbuscula ssp. arbuscula,1,0,1,0.31722063428725766,0.001,first,0.008987804878048782
Cetraria aculeata,1,0,1,0.29673273237950815,0.001,first,0.008987804878048782
Barbilophozia quadriloba,1,0,1,0.31722063428725766,0.001,first,0.008987804878048782
Bryum pseudotriquetrum,1,0,1,0.3071475584169756,0.001,first,0.008987804878048782
Stereocaulon glareosum,1,0,1,0.3071475584169756,0.001,first,0.008987804878048782
Micarea incrassata,1,0,1,0.29673273237950815,0.001,first,0.008987804878048782
Empetrum nigrum,0,1,2,0.6893869515078733,0.002,last,0.015354166666666667
Equisetum variegatum,1,0,1,0.5706005220938936,0.002,first,0.015354166666666667
Ptychostomum pseudotriquetrum,1,0,1,0.27472112789737807,0.002,first,0.015354166666666667
Scorpidium scorpioides,1,0,1,0.27472112789737807,0.002,first,0.015354166666666667
Pseudobryum cinclidioides,1,0,1,0.27472112789737807,0.002,first,0.015354166666666667
Lophozia ventricosa,1,0,1,0.27472112789737807,0.002,first,0.015354166666666667
Solorina bispora,1,0,1,0.27472112789737807,0.002,first,0.015354166666666667
Peltigera,0,1,2,0.2630254549223457,0.002,last,0.015354166666666667
Peltigera sp.,1,0,1,0.3242174128628309,0.002,first,0.015354166666666667
Koenigia islandica,1,0,1,0.36692619453909026,0.002,first,0.015354166666666667
Pogonatum urnigerum,1,0,1,0.2630254549223457,0.002,first,0.015354166666666667
Plagiochila porelloides,1,0,1,0.27472112789737807,0.002,first,0.015354166666666667
Cladonia uncialis,1,0,1,0.2507849312877596,0.002,first,0.015354166666666667
Andreaea rupestris,1,0,1,0.29673273237950815,0.002,first,0.015354166666666667
Cephalozia ambigua,1,0,1,0.23791547571544325,0.003,first,0.021259615384615384
Cladonia gracilis,1,0,1,0.2507849312877596,0.003,first,0.021259615384615384
Cephaloziella hampeana,1,0,1,0.29673273237950815,0.003,first,0.021259615384615384
Luzula spicata,1,0,1,0.5022893661318816,0.003,first,0.021259615384615384
Minuartia rubella,1,0,1,0.28050536489530137,0.003,first,0.021259615384615384
Pohlia wahlenbergii,1,0,1,0.2630254549223457,0.003,first,0.021259615384615384
Peltigera membranacea,1,0,1,0.29673273237950815,0.003,first,0.021259615384615384
Tremolecia atrata,1,0,1,0.23791547571544325,0.003,first,0.021259615384615384
