fid,plot_number,bc,gap_years,haeddypimetrar,n,distance,feature_x,feature_y,nearest_x,nearest_y
1,AL-10-01,0.404506468629019,10,20,1,166.727026839163,2908824.8095508,378906.199524458,2908686.29055304,378998.991704838
2,AL-10-01,0.404506468629019,10,20,1,166.190478393135,2908823.41200034,378905.092909319,2908686.29055304,378998.991704838
3,AL-24-03,0.293117230733862,10,40,1,46.3007573828648,2914965.62800434,350656.11708125,2914959.89446697,350610.172694396
4,AL-24-03,0.293117230733862,10,40,1,48.0870445398942,2914957.31753112,350658.190641605,2914959.89446697,350610.172694396
5,AL-40-01,0.259822722236427,10,20,1,773.497089783411,2919518.43325711,369294.372680974,2918781.95485547,369057.946557577
6,AL-40-01,0.259822722236427,10,20,1,771.894444699311,2919516.2258012,369295.995317331,2918781.95485547,369057.946557577
7,AL-40-03,0.366740061842722,10,100,1,458.589581910984,2919606.31440767,358876.606056717,2919314.44889186,359230.327593126
8,AL-40-03,0.366740061842722,10,100,1,457.503495422711,2919603.98121706,358876.095351525,2919314.44889186,359230.327593126
9,AL-42-04,0.371588630588701,10,60,1,210.752702570954,2917062.11303634,350250.734581671,2917259.71807693,350324.007697975
10,AL-42-04,0.371588630588701,10,60,1,210.646148820873,2917062.14294899,350250.960388907,2917259.64808312,350324.196459303
11,AL-43-01,0.587962444944003,10,10,1,830.839053760026,2927943.92600279,374611.54738218,2927123.75635052,374478.824834222
12,AL-43-01,0.587962444944003,10,10,1,829.398006790536,2927942.78639725,374609.55675923,2927123.75635052,374478.824834222
13,E07-1,0.837310429872574,23,480,1,39.7092767220029,2714132.24884171,175237.372523106,2714165.92238793,175216.326883588
14,E07-3,0.644034917555771,23,480,1,9.26435313800358,2714188.03221789,175182.997546243,2714197.29657103,175182.997583418
15,EY-127-02,0.2782335940909,9,20,1,744.562238466099,2738257.99408708,388005.546448719,2737603.11916229,387651.270059677
16,EY-127-04,0.37888121905197,9,20,1,220.124517493795,2739326.5446237,402875.586671337,2739106.94010762,402860.465172764
17,FA9-1,0.713644859813084,21,620,1,123.693906975281,2838300.26932523,298568.421161217,2838407.95297636,298629.285057752
18,FG2-1,0.846283706011449,21,600,1,11.4682072137366,2837636.06045711,298952.750009936,2837646.05221381,298958.378915231
19,FG2-5,0.837119141110393,21,620,1,85.169589443952,2839819.2688976,295851.675444598,2839904.38370143,295854.729807936
20,FT10-3,0.769378897814092,21,600,1,4.10265815878086,2838465.39467547,298250.089451785,2838463.35313311,298246.530813175
21,FV01-1,0.898067815080263,18,600,1,95.2087121118535,2838608.76556194,298004.635790616,2838626.68261961,297911.128155065
22,FV01-1,0.898067815080263,18,600,1,95.3987705270073,2838607.49107937,298004.57659112,2838626.68261961,297911.128155065
23,G03-1,1,22,600,1,396.301501803086,2716743.07018762,201393.576655922,2716465.44972789,201110.766188175
24,G03-1,1,22,600,1,394.622584370251,2716740.33941741,201393.89626904,2716465.44972789,201110.766188175
25,G03-3,0.781818181818182,22,600,1,439.147088735801,2716727.78127582,201462.948420127,2716465.44972789,201110.766188175
26,G03-3,0.781818181818182,22,600,1,437.042915835823,2716727.69773841,201460.383823974,2716465.44972789,201110.766188175
27,G03-5,0.817150063051702,23,640,1,569.097695136283,2722248.18927902,192322.545818653,2722788.32762172,192501.774045666
28,G09-1,0.571151577044361,23,660,1,5.93439280550449,2717008.00994691,188162.041278451,2717002.10795722,188161.421975831
29,G15-3,0.569662848637805,22,740,1,31.2364366107999,2713842.70639471,189089.541050979,2713823.87966476,189114.466323521
30,G15-3,0.569662848637805,22,740,1,29.9286216746628,2713840.26059697,189089.418619928,2713823.87966476,189114.466323521
31,G20-3,1,22,680,1,11.1513136909389,2717387.88559795,198042.90499596,2717395.45972703,198034.72059826
32,G20-3,1,22,680,1,11.9425608720687,2717385.50145165,198041.776704469,2717393.61300694,198033.011578634
33,HF-65-01,0.181485212692016,9,20,1,452.732591120466,2913394.38818392,255653.595498442,2913245.89065963,255225.909533809
34,HF-65-01,0.181485212692016,9,20,1,451.046877534826,2913392.24875456,255652.550593464,2913245.89065963,255225.909533809
35,HF-65-02,0.330458574038087,9,20,1,1832.8438340766,2915055.92625868,255833.573465606,2913375.89054296,255100.909481213
36,HF-65-02,0.330458574038087,9,20,1,1832.63301380805,2915053.32912049,255838.976945562,2913375.89054296,255100.909481213
37,HF-65-03,0.292792715461447,9,,,,,,,
38,HF-65-03,0.292792715461447,9,,,,,,,
39,HF-65-05,0.342660732557637,9,20,1,1672.96485084027,2874971.97570734,224683.973586503,2874144.82839702,226138.153327519
40,HF-65-05,0.342660732557637,9,20,1,1674.44834992539,2874976.81602444,224685.02777741,2874144.82839702,226138.153327519
41,HF-65-06,0.375506544516709,9,,,,,,,
42,HF-65-06,0.375506544516709,9,,,,,,,
43,HF-65-07,0.33666402434892,9,,,,,,,
44,HF-65-07,0.33666402434892,9,,,,,,,
45,HF-65-08,0.30023919981003,9,,,,,,,
46,HF-65-08,0.30023919981003,9,,,,,,,
47,HF-65-09,0.501784929450371,9,,,,,,,
48,HF-65-09,0.501784929450371,9,,,,,,,
49,HF-65-13,0.304685361166464,9,,,,,,,
50,HF-65-13,0.304685361166464,9,,,,,,,
51,HMM07,0.683206035293393,24,740,1,290.004694443282,2720958.90824146,303636.152316744,2721051.47921912,303910.985606019
52,HMM08,0.761655539436879,24,740,1,40.5670816799927,2719531.99431542,303579.804617846,2719495.28167096,303597.063524326
53,HRM01,0.638926300767027,23,720,1,375.943591704601,2721694.5620142,314127.885783061,2721318.79871944,314139.527537888
54,HRM01,0.638926300767027,23,720,1,371.405166440907,2721689.96043407,314125.917607332,2721318.73338801,314137.418821835
55,HRM02,0.905239491784032,23,720,1,223.647302165241,2721537.8126837,312770.567763898,2721630.49776592,312567.030073776
56,HRM02,0.905239491784032,23,720,1,223.822915426555,2721538.1759808,312770.925599631,2721630.49776592,312567.030073776
57,HRM04,0.837345860246624,23,720,1,278.240730674196,2722355.41856978,309845.836237956,2722632.76007159,309823.484603104
58,HRM04,0.837345860246624,23,720,1,274.505562862488,2722358.96841494,309843.386464877,2722632.58682039,309821.334883532
59,HRM06,0.746439013224293,23,720,1,196.692173295767,2722118.49740905,307618.065494229,2722311.82028405,307581.81529372
60,HRM06,0.746439013224293,23,720,1,197.447551967813,2722117.48606918,307616.740194705,2722311.82028405,307581.81529372
61,HRM07,0.755083865221909,24,720,1,32.6138926634224,2721815.91413367,305026.219512321,2721846.63168812,305015.260596173
62,HRM09,0.742468730193634,25,740,1,22.5648316959431,2720549.91111869,302983.212845874,2720540.02576596,302962.928580271
63,HRM10,0.785672280654398,25,740,1,216.183188155254,2721175.29730657,302742.388238716,2721074.06998597,302933.407087011
64,HST06,0.672849193893566,25,740,1,77.1487378572039,2720213.96216374,303872.618903933,2720137.02388278,303866.924285822
65,ID-12,0.463670285137021,9,,,,,,,
66,ID-12,0.463670285137021,9,,,,,,,
67,ID-19,0.433255591620292,9,,,,,,,
68,ID-19,0.433255591620292,9,,,,,,,
69,KBA05,0.812914896496632,25,680,1,58.3792029093523,2857841.36079282,294494.504234369,2857803.3988172,294538.855330626
70,KKB08,0.825660629408758,25,600,1,62.2715637701232,2854555.65978212,297151.62723319,2854501.14356817,297181.722582843
71,KKB39,0.656835910770494,24,660,1,252.713263494185,2851919.87470634,285118.063453906,2852072.1959826,285319.712213749
72,KMM14,0.829213132652265,25,660,1,26.0615706306154,2858372.73061217,295835.960568226,2858349.94153614,295848.604281187
73,KMM35,0.798137120171018,24,680,1,151.844890256735,2856232.07921262,289905.364814341,2856081.83587509,289927.36050087
74,KMM68,0.804045009985647,24,660,1,9.54780282796497,2854058.16785276,286341.029591388,2854048.66722843,286341.977576639
75,KSD39,0.752441334822336,25,680,1,70.0430848208451,2854674.06063061,296022.960514077,2854742.76303624,296009.321848738
76,KSM17,0.837686702655596,23,640,1,11.2392945012109,2850544.89756783,287095.928309265,2850533.72051431,287094.747116878
77,KSM17,0.837686702655596,23,640,1,10.5312495973573,2850544.18400335,287095.943229113,2850533.71107372,287094.836448625
78,KST52,0.85399310630953,24,660,1,200.658832483858,2856441.29563396,290860.683280564,2856253.82551181,290932.229911197
79,KVV00,0.791384674738906,25,580,1,27.165936527824,2852594.62513243,297419.005387676,2852571.69193237,297433.567545572
80,KVV84,0.681560133506772,24,660,1,27.9531969750447,2851520.9105298,288502.023102511,2851505.35948677,288525.251238074
81,MM-10-01,0.65689305896151,9,520,1,649.627962985244,2675583.99651132,251075.968993595,2676233.20621492,251052.661247146
82,MM-10-01,0.65689305896151,9,560,1,121.962179378816,2685229.59797847,226030.440638935,2685240.56231272,225908.972303253
83,MM-110-01,0.613520650316701,9,480,1,135.841071564689,2673763.2657461,247241.086483697,2673628.24776976,247226.155214882
84,MM-110-01,0.613520650316701,9,600,1,119.924849810848,2684137.65612272,223723.775603149,2684143.94307517,223604.015660635
85,MS-30-02,0.617535132763454,10,20,1,415.80116206097,2838028.3266585,461145.483991749,2837902.45814364,460749.191519781
86,MS-40-01,0.170031161089283,10,20,1,188.556760678132,2836029.55314584,462792.319806515,2835949.69870459,462621.507277083
87,MS-40-03,0.378570999672057,10,40,1,53.6284492389227,2835128.61264697,460256.707664766,2835143.89102259,460205.301616423
88,MS-42-01,0.321440693555951,9,40,1,249.663863314616,2835428.87974969,461916.402029094,2835347.58171015,461680.345524394
89,MS-42-02,0.410678294882871,9,120,1,95.9541488122038,2842368.15724155,447868.836157289,2842450.12798309,447918.715974915
90,MS-42-03,0.423013782500402,10,20,1,433.799403556643,2815826.10549172,447351.052709117,2815471.35460948,447600.719955821
91,MS-42-04,0.496434910150851,10,40,1,99.358610515292,2835730.150194,459095.995089229,2835633.36350769,459073.534660983
