id,plot_id,image_path,comments,insert_user,insert_time,update_user,update_time
1,2870,C:\Users\OLGAKO~1\AppData\Local\Temp\Drag to external systemIMG_8086.JPG.url,Horft til norðurs,olgakolbrun,2020-11-27T12:57:05Z,NA,NA
2,2870,C:\Users\OLGAKO~1\AppData\Local\Temp\Drag to external systemIMG_8085.JPG.url,Horft til suðurs,olgakolbrun,2020-11-27T12:58:35Z,NA,NA
3,2870,C:\Users\OLGAKO~1\AppData\Local\Temp\Drag to external systemIMG_8101.JPG.url,Horft til suðurs í átt að heitum læk með laugadeplu.,olgakolbrun,2020-11-27T15:03:35Z,olgakolbrun,2020-11-27T15:06:35Z
4,2870,C:\Users\OLGAKO~1\AppData\Local\Temp\Drag to external systemIMG_8102.JPG.url,Jarðhiti er áfram niður hlíðina.,olgakolbrun,2020-11-27T15:23:05Z,NA,NA
5,2870,C:\Users\OLGAKO~1\AppData\Local\Temp\Drag to external systemIMG_8105.JPG.url,Jarðhiti er áfram niður að á.,olgakolbrun,2020-11-27T15:23:33Z,NA,NA
6,2870,C:\Users\OLGAKO~1\AppData\Local\Temp\IMG_8106.t5f30650a.m600.xldnyg3XyrMcK39q_.jpg,Laugadepla við heitan læk.,olgakolbrun,2020-11-27T15:23:35Z,NA,NA
7,2872,C:\Users\OLGAKO~1\AppData\Local\Temp\Drag to external systemIMG_8127.JPG.url,Horft til suðurs,olgakolbrun,2020-11-27T15:26:35Z,NA,NA
8,2872,C:\Users\OLGAKO~1\AppData\Local\Temp\Drag to external systemIMG_8128.JPG.url,Horft til suðurs,olgakolbrun,2020-11-27T15:27:24Z,NA,NA
9,2872,C:\Users\OLGAKO~1\AppData\Local\Temp\Drag to external systemIMG_8129.JPG.url,Horft til suðurs,olgakolbrun,2020-11-27T15:27:34Z,NA,NA
10,2872,C:\Users\OLGAKO~1\AppData\Local\Temp\Drag to external systemIMG_8130.JPG.url,Horft til norðurs,olgakolbrun,2020-11-27T15:27:35Z,NA,NA
11,2872,C:\Users\OLGAKO~1\AppData\Local\Temp\Drag to external systemIMG_8131.JPG.url,Horft til norðurs,olgakolbrun,2020-11-27T15:27:57Z,NA,NA
13,2872,C:\Users\OLGAKO~1\AppData\Local\Temp\Drag to external systemIMG_8161.JPG.url,Fastmerki á sniði,olgakolbrun,2020-11-27T16:01:05Z,NA,NA
12,2872,C:\Users\OLGAKO~1\AppData\Local\Temp\Drag to external systemIMG_8139.JPG.url,Á göngustíg í jarðhitaflákanum - hitamæling,olgakolbrun,2020-11-27T15:55:05Z,olgakolbrun,2020-11-27T16:01:49Z
16,2874,C:\Users\NNA~1.STE\AppData\Local\Temp\Drag to external system9184.jpg.url,Mynd tekin í suður,nna.stella,2021-04-12T14:47:35Z,NA,NA
15,2874,C:\Users\NNA~1.STE\AppData\Local\Temp\Drag to external system9185.jpg.url,Teknar tvær myndir af sniði 9184 og 9185. Mynd tekin í norður,nna.stella,2021-04-12T14:06:05Z,nna.stella,2021-04-12T14:49:35Z
18,2875,C:\Users\NNA~1.STE\AppData\Local\Temp\Drag to external system9219.jpg.url,Mynd tekin í norðvestur,nna.stella,2021-04-13T08:46:38Z,NA,NA
19,2875,C:\Users\NNA~1.STE\AppData\Local\Temp\Drag to external system9223.jpg.url,Mynd tekin í suðaustur,nna.stella,2021-04-13T08:47:38Z,NA,NA
20,2876,C:\Users\NNA~1.STE\AppData\Local\Temp\Drag to external systemIMG_6120.JPG.url,NA,nna.stella,2021-11-04T13:09:50Z,NA,NA
21,2876,NA,NA,nna.stella,2021-11-04T13:10:00Z,NA,NA
22,2877,C:\Users\NNA~1.STE\AppData\Local\Temp\Drag to external systemIMG_6134.JPG.url,NA,nna.stella,2021-11-04T13:30:42Z,NA,NA
23,2877,C:\Users\NNA~1.STE\AppData\Local\Temp\Drag to external systemIMG_6135.JPG.url,NA,nna.stella,2021-11-04T13:30:46Z,NA,NA
24,2878,C:\Users\NNA~1.STE\AppData\Local\Temp\Drag to external systemIMG_6148.JPG.url,NA,nna.stella,2021-11-04T13:45:45Z,NA,NA
25,2878,C:\Users\NNA~1.STE\AppData\Local\Temp\Drag to external systemIMG_6149.JPG.url,NA,nna.stella,2021-11-04T13:45:50Z,NA,NA
26,2879,C:\Users\NNA~1.STE\AppData\Local\Temp\Drag to external systemIMG_5616.JPG.url,NA,nna.stella,2021-11-04T14:04:20Z,NA,NA
27,2879,C:\Users\NNA~1.STE\AppData\Local\Temp\Drag to external systemIMG_5617.JPG.url,NA,nna.stella,2021-11-04T14:05:05Z,NA,NA
28,2880,C:\Users\NNA~1.STE\AppData\Local\Temp\Drag to external systemIMG_5628.JPG.url,NA,nna.stella,2021-11-04T14:20:20Z,NA,NA
29,2880,C:\Users\NNA~1.STE\AppData\Local\Temp\Drag to external systemIMG_5629.JPG.url,NA,nna.stella,2021-11-04T14:20:33Z,NA,NA
30,2880,C:\Users\NNA~1.STE\AppData\Local\Temp\Drag to external systemIMG_5635.JPG.url,NA,nna.stella,2021-11-04T14:20:40Z,NA,NA
31,2881,C:\Users\NNA~1.STE\AppData\Local\Temp\Drag to external systemIMG_5459.JPG.url,NA,nna.stella,2021-11-04T14:34:50Z,NA,NA
32,2881,C:\Users\NNA~1.STE\AppData\Local\Temp\Drag to external systemIMG_5460.JPG.url,NA,nna.stella,2021-11-04T14:35:02Z,NA,NA
33,2882,C:\Users\NNA~1.STE\AppData\Local\Temp\Drag to external systemIMG_5469.JPG.url,NA,nna.stella,2021-11-04T14:56:12Z,NA,NA
34,2882,C:\Users\NNA~1.STE\AppData\Local\Temp\Drag to external systemIMG_5470.JPG.url,NA,nna.stella,2021-11-04T14:56:18Z,NA,NA
36,2883,C:\Users\NNA~1.STE\AppData\Local\Temp\Drag to external systemIMG_5478.JPG.url,NA,nna.stella,2021-11-04T15:11:49Z,NA,NA
37,2883,C:\Users\NNA~1.STE\AppData\Local\Temp\Drag to external systemIMG_5479.JPG.url,NA,nna.stella,2021-11-04T15:11:50Z,NA,NA
38,2891,C:\Users\NNA~1.STE\AppData\Local\Temp\Drag to external systemIMG_6263.JPG.url,NA,nna.stella,2021-12-01T10:34:08Z,NA,NA
39,2891,NA,NA,nna.stella,2021-12-01T10:34:12Z,NA,NA
