id,name,number,description,insert_user,insert_time,update_user,update_time
1,Natura Island Land,2814,NA,asrun,2013-10-03T09:57:47Z,asrun,2013-11-15T15:17:45Z
4,Verndargildi háhitasvæða,2868,"Gögnum afla á árunum 2005-2008, unnið í tengslum við Rammaáætlun.",asrun,2014-01-15T14:50:41Z,NA,NA
8,Lífríki háhitasvæða,0,Gögnum aflað 2001-2002.,asrun,2014-01-23T15:38:49Z,NA,NA
12,Vistgerdir á miðhálendi,2872,Gögnum var aflað 1999-2004. Unnið í tengslum við fyrri Rammaáætlun ríkisstjórnar Íslands. ,asrun,2014-06-13T12:45:39Z,NA,NA
16,Blöndulón,2832,NA,asrun,2015-01-26T17:53:45Z,NA,NA
20,Lagarfljot-grodurbreytingar,3160,NA,asrun,2015-02-19T10:55:59Z,asrun,2015-02-19T10:56:59Z
21,Karahnjukar-Utherad,3159,NA,asrun,2015-02-19T11:00:49Z,NA,NA
13,Heygil-Gróðurframvinda ,7204,Í umsjón Sigurðar H. Magnússonar. ,asrun,2015-01-07T12:36:38Z,asrun,2015-03-06T12:42:44Z
23,Natura Island Land hiti,2814,Jarðhiti,kjartan,2015-03-11T16:25:55Z,NA,NA
15,Viðey,0,NA,asrun,2015-01-09T14:52:44Z,asrun,2015-03-11T16:27:27Z
17,Mjóavatn,0,"Borgþór Magnússon 1987.
Áhrif framræslu og beitar á gróðurfar, uppskeru og umhverfisþætti í mýri við Mjóavatn á Mosfellsheiði.
Fjölrit RALA nr. 127, 93 bls.
",asrun,2015-01-28T10:43:30Z,asrun,2015-03-11T16:28:15Z
19,Sölvholt,0,"Borgþór Magnússon og Sigurður H. Magnússon 1990. Áhrif búfjárbeitar á gróður framræstrar mýrar í Sölvholti í Flóa. Fjölrit RALA nr. 147, 63 bls.",asrun,2015-01-28T11:00:30Z,asrun,2015-03-11T16:28:17Z
5,Skógvist,5495,Gögnum aflað 2002 og 2004. Einnig á hluta sniða 2015.,asrun,2014-01-23T15:37:39Z,asrun,2017-01-23T12:04:35Z
24,Vöktun válistaplantna,2870,Vöktun válistaplantna byggð á eyðublöðum Pawels frá árinu 2019,starri,2019-07-24T14:21:12Z,NA,NA
25,GLORIA,280214,"Vöktun toppagróðurs, sjá gloria.ac.at",starri,2020-02-03T11:28:28Z,NA,NA
27,Flóra Ísland,2874,Vettvangsskráningar á plöntum,pawel,2020-06-09T09:22:39Z,NA,NA
28,Vöktun náttúruverndarsvæða,13098,"Vöktun náttúruverndarsvæða vegna álags af völdum ferðamanna. UAR, hefst í júní 2019 og fyrsta vöktun í felti 2020.",olgakolbrun,2020-11-16T14:52:16Z,NA,NA
32,Skeljasandsengi,17561,Rannsóknir NÍ á mögulegri machair vistgerð sem útleggja mætti sem skeljasandsengi á íslensku. Umsjón Olga K. Vilmundardóttir.,olgakolbrun,2023-11-06T08:52:43Z,olgakolbrun,2023-11-06T08:53:53Z
