id,plot_id,analyser_id,position_length,position_width,subplot_number,soil_type_id,stone_class,permafrost,nitrogen,total_cover,vegetation_height_1,vegetation_height_2,vegetation_height_3,vegetation_height_4,biomass,carbon,ph,soil_depth,soil_temperature_1,soil_temperature_2,topography_id,images,comments,insert_user,insert_time,update_user,update_time,moisture_id,soil_temperature_3,soil_compaction_1,soil_compaction_2,soil_compaction_3,vegetation_stress_condition
17774,2107,24,NA,NA,0,NA,NA,FALSE,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,asrun,2016-08-11T15:15:50Z,asrun,2016-08-11T16:38:21Z,NA,NA,NA,NA,NA,NA
11171,1399,7,NA,NA,1,2,NA,FALSE,NA,100,15,NA,NA,NA,NA,NA,NA,115,NA,NA,10,NA,NA,kjartan,2015-02-10T13:23:26Z,NA,NA,2,NA,NA,NA,NA,NA
11172,1399,7,NA,NA,2,2,NA,FALSE,NA,100,5,NA,NA,NA,NA,NA,NA,115,NA,NA,10,NA,NA,kjartan,2015-02-10T13:25:02Z,NA,NA,2,NA,NA,NA,NA,NA
17777,2110,24,NA,NA,0,NA,NA,FALSE,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elly,2016-08-12T13:18:11Z,NA,NA,NA,NA,NA,NA,NA,NA
17779,2111,24,NA,NA,0,NA,NA,FALSE,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elly,2016-08-12T13:33:52Z,NA,NA,NA,NA,NA,NA,NA,NA
11175,1399,7,NA,NA,3,2,NA,FALSE,NA,100,15,NA,NA,NA,NA,NA,NA,115,NA,NA,10,NA,NA,kjartan,2015-02-10T13:25:39Z,NA,NA,2,NA,NA,NA,NA,NA
11176,1399,7,NA,NA,4,2,NA,FALSE,NA,100,15,NA,NA,NA,NA,NA,NA,115,NA,NA,10,NA,NA,kjartan,2015-02-10T13:25:39Z,NA,NA,2,NA,NA,NA,NA,NA
17780,2112,24,NA,NA,0,NA,NA,FALSE,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,elly,2016-08-12T14:33:02Z,NA,NA,NA,NA,NA,NA,NA,NA
451,148,7,NA,NA,1,2,NA,FALSE,NA,100,32,35,40,46,NA,NA,NA,115,NA,NA,10,Yfirlit: 0366  Smáreitur: 0367  Jarðvegssýni: 0368  Auka: ,NA,kjartan,2014-05-22T15:32:29Z,kjartan,2014-06-11T14:47:18Z,1,NA,NA,NA,NA,NA
452,148,7,NA,NA,2,2,NA,FALSE,NA,100,25,40,20,8,NA,NA,NA,115,NA,NA,10,NA,NA,kjartan,2014-05-22T15:32:29Z,kjartan,2014-06-11T14:47:18Z,1,NA,NA,NA,NA,NA
453,148,7,NA,NA,3,2,NA,FALSE,NA,100,22,20,27,20,NA,NA,NA,115,NA,NA,10,NA,NA,kjartan,2014-05-22T15:32:29Z,kjartan,2014-06-11T14:47:18Z,1,NA,NA,NA,NA,NA
454,148,7,NA,NA,4,2,NA,FALSE,NA,100,30,46,17,22,NA,NA,NA,115,NA,NA,10,NA,NA,kjartan,2014-05-22T15:32:29Z,kjartan,2014-06-11T14:47:18Z,1,NA,NA,NA,NA,NA
455,148,7,NA,NA,5,2,NA,FALSE,NA,100,19,20,22,23,NA,NA,NA,115,NA,NA,10,Yfirlit: 0371  Smáreitur: 0369  Jarðvegssýni: 0370  Auka: ,NA,kjartan,2014-05-22T15:32:29Z,kjartan,2014-06-11T14:47:18Z,2,NA,NA,NA,NA,NA
