id,plot_number,area,field_date,plot_size_id,plot_size_width,plot_size_length,subplot_size_id,subplot_size_width,subplot_size_length,subplot_group_scale_id,group_scale_name,subplot_taxon_scale_id,taxon_scale_name,project_id,project_name,project_number,project_descrtiption,plot_area,slope,slope_aspect,coordinates_1,longitude_1,latitude_1,longitude_2,coordinates_2,latitude_2,altitude,precipitation,temperature_year,temperature_january,temperature_july,nitrogen,carbon,ph,images,plant_community_1_id,plant_community_1_code,plant_community_1_name,plant_community_2_id,plant_community_2_code,plant_community_2_name,plant_community_3_id,plant_community_3_code,plant_community_3_name,plant_community_cover,plant_community_other,surface_type_id,surface_type_code,surface_type_name,comments,habitat_type_id,habitat_type_name,insert_user
2873,NA,"Þingvellir, Almannagjá norðan vegar, þ.e. nyrsti hlutinn",1986-08-13,NA,NA,NA,4,0,0,7,Á ekki við,7,Á ekki við,27,Flóra Ísland,2874,Vettvangsskráningar á plöntum,NA,NA,NA,0101000020E6100000923CD7F7E11835C06005F86EF3115040,64.280483,-21.097198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Slumpað á Gps hnit frá ja.is,NA,NA,elly
3027,KVV84,NA,2023-07-21,2,10,40,2,33,100,1,Braun-Blanquet,1,Braun-Blanquet,28,Vöktun náttúruverndarsvæða,13098,"Vöktun náttúruverndarsvæða vegna álags af völdum ferðamanna. UAR, hefst í júní 2019 og fyrsta vöktun í felti 2020.",NA,NA,NA,0101000020E610000036C98FF8159B2FC0CE6DC2BD32375040,NA,NA,NA,0101000020E610000080B9162D409B2FC07235B22B2D375040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,Rekjuvist,na.margret
3030,RN-07-03,Reykjanes,2023-07-19,2,10,40,2,33,100,1,Braun-Blanquet,1,Braun-Blanquet,28,Vöktun náttúruverndarsvæða,13098,"Vöktun náttúruverndarsvæða vegna álags af völdum ferðamanna. UAR, hefst í júní 2019 og fyrsta vöktun í felti 2020.",400,NA,NA,NA,-22.39314598,63.90985099,-22.39229396,NA,63.90978796,NA,NA,NA,NA,NA,NA,NA,NA,IMG_5814 - IMG_5828 ,1,A1,Mosses (Racomitrium spp.),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Einangrað svæði, smá erfitt að komast að sniði. Tegundir utan reita eru skráðar með commenti í reit 6. 

Yfirlitsmyndir (IMG_5814 - IMG_5828) :
http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Sudvesturland/Reykjanes/RN-07-03/",39,Mosahraunavist,nsv.sigrdur
3031,RN-07-02,Reykjanes,2023-07-19,2,10,40,2,33,100,1,Braun-Blanquet,1,Braun-Blanquet,28,Vöktun náttúruverndarsvæða,13098,"Vöktun náttúruverndarsvæða vegna álags af völdum ferðamanna. UAR, hefst í júní 2019 og fyrsta vöktun í felti 2020.",400,NA,NA,NA,-22.40059599,63.91739998,-22.40015703,NA,63.91709002,NA,NA,NA,NA,NA,NA,NA,NA,IMG_5834 - IMG_5848 ,1,A1,Mosses (Racomitrium spp.),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nokkuð úfið hraun. Mosi og krækilyng áberandi. Tegundir utan reita eru skráðar með commenti í reit 6. 

Yfirlitsmyndir (IMG_5834 - IMG_5848) :
http://fotoware.ni.is/fotoweb/archives/5013-Voktun-Natturuverndarsvaeda/Landsvaedi/Sudvesturland/Reykjanes/RN-07-02/",39,Mosahraunavist,nsv.sigrdur
2866,CPALA2019,Hvammur,2019-07-31,NA,NA,NA,7,25,25,1,Braun-Blanquet,1,Braun-Blanquet,24,Vöktun válistaplantna,2870,Vöktun válistaplantna byggð á eyðublöðum Pawels frá árinu 2019,14972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gróskumikið graslendi, loðgresi ríkjandi + selgresi, há ...., mikið af mjaðjurt, brennisóley + blágresi (blómgresis ?)
?	",NA,NA,ella
3032,KMM68,NA,2023-07-20,2,10,40,2,33,100,1,Braun-Blanquet,1,Braun-Blanquet,28,Vöktun náttúruverndarsvæða,13098,"Vöktun náttúruverndarsvæða vegna álags af völdum ferðamanna. UAR, hefst í júní 2019 og fyrsta vöktun í felti 2020.",NA,NA,NA,0101000020E6100000AC3AAB05F6802FC0FDBE7FF3E2355040,NA,NA,NA,0101000020E6100000F303577902812FC0658BA4DDE8355040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,Tjarnastararflóavist,na.margret
3033,KMM35,NA,2023-07-22,2,10,40,2,33,100,1,Braun-Blanquet,1,Braun-Blanquet,28,Vöktun náttúruverndarsvæða,13098,"Vöktun náttúruverndarsvæða vegna álags af völdum ferðamanna. UAR, hefst í júní 2019 og fyrsta vöktun í felti 2020.",NA,NA,NA,0101000020E6100000B7442E3883672FC0FAB7CB7EDD375040,NA,NA,NA,0101000020E6100000D42AFA4333672FC016359886E1375040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,Hengistararflóavist,na.margret
3034,KST52,NA,2023-07-22,2,10,40,2,33,100,1,Braun-Blanquet,1,Braun-Blanquet,28,Vöktun náttúruverndarsvæða,13098,"Vöktun náttúruverndarsvæða vegna álags af völdum ferðamanna. UAR, hefst í júní 2019 og fyrsta vöktun í felti 2020.",NA,NA,NA,0101000020E61000009AED0A7DB0642FC0F5BEF1B567385040,NA,NA,NA,0101000020E61000004C89247A19652FC09A3FA6B569385040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,Rekjuvist,na.margret
1570,G03-1,Grænifjallgarður,2001-08-11,1,2,200,2,33,100,1,Braun-Blanquet,6,Þekjuflokkar-snið,12,Vistgerdir á miðhálendi,2872,Gögnum var aflað 1999-2004. Unnið í tengslum við fyrri Rammaáætlun ríkisstjórnar Íslands. ,NA,NA,NA,0101000020E6100000637AC2120FA832C01E1B81785D075040,-18.65648,64.11508,-18.65237,0101000020E61000003BE466B801A732C06CEC12D55B075040,64.11498,585,NA,NA,NA,NA,NA,0.0277621389160875,8.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Einsleitt  GRÓSKA: Lítil  FJÖLBREYTNI GRÓÐURS :   ÁBERANDI TEGUNDIR: Mosinn SJALDGÆFAR TEGUNDIR:  BEIT:  LANDSLAG: Marflatt YFIRBORÐ:  ROF:  JARÐVATNSRENNSLI:  JARÐVEGUR:  FUGLAR: 1 snjótittlingur ANNAÐ:  LJÓSMYNDIR: Myndir fyrir Bogga, yfirlit frá 200,nærmynd 3-1 8, jarðvegur 3-1 og hópmynd.17-20",NA,NA,kjartan
1572,G03-3,Grænifjallgarður,2001-08-11,1,2,200,2,33,100,1,Braun-Blanquet,6,Þekjuflokkar-snið,12,Vistgerdir á miðhálendi,2872,Gögnum var aflað 1999-2004. Unnið í tengslum við fyrri Rammaáætlun ríkisstjórnar Íslands. ,NA,NA,NA,0101000020E6100000554D10751FA832C06C09F9A067075040,-18.65673,64.1157,-18.66078,0101000020E6100000D3D9C9E028A932C0213CDA3862075040,64.11537,585,NA,NA,NA,NA,NA,0.0327417071197411,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Snið er neðar í farveginum. Sendnara og fínkornóttara.Já  GRÓSKA: Lítil  FJÖLBREYTNI GRÓÐURS :   ÁBERANDI TEGUNDIR: Dýjamosi, Agrostis stol SJALDGÆFAR TEGUNDIR:  BEIT:  LANDSLAG: Marflatt YFIRBORÐ:  ROF:  JARÐVATNSRENNSLI:  JARÐVEGUR:  FUGLAR: 1 Kjói, 1 Sílamáfur ANNAÐ:  LJÓSMYNDIR: 18. Mynd 0-200",NA,NA,kjartan
