subplot_id,plot_id,analyser_id,analyser_name,position_length,position_width,subplot_number,soil_type_id,soil_type_name,stone_class,permafrost,subplot_nitrogen,total_cover,vegetation_height_1,vegetation_height_2,vegetation_height_3,vegetation_height_4,biomass,subplot_carbon,subplot_ph,soil_depth,soil_temperature_1,soil_temperature_2,topography_id,topography_name,subplot_images,subplot_comments,moisture_id,moisture_name
17774,2107,24,Ásrún Elmarsdóttir,NA,NA,0,NA,NA,NA,FALSE,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11171,1399,7,Sigurður H. Magnússon,NA,NA,1,2,Lífræn jörð,NA,FALSE,NA,100,15,NA,NA,NA,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,2,Mýri
11172,1399,7,Sigurður H. Magnússon,NA,NA,2,2,Lífræn jörð,NA,FALSE,NA,100,5,NA,NA,NA,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,2,Mýri
17777,2110,24,Ásrún Elmarsdóttir,NA,NA,0,NA,NA,NA,FALSE,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17779,2111,24,Ásrún Elmarsdóttir,NA,NA,0,NA,NA,NA,FALSE,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11175,1399,7,Sigurður H. Magnússon,NA,NA,3,2,Lífræn jörð,NA,FALSE,NA,100,15,NA,NA,NA,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,2,Mýri
11176,1399,7,Sigurður H. Magnússon,NA,NA,4,2,Lífræn jörð,NA,FALSE,NA,100,15,NA,NA,NA,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,2,Mýri
17780,2112,24,Ásrún Elmarsdóttir,NA,NA,0,NA,NA,NA,FALSE,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
451,148,7,Sigurður H. Magnússon,NA,NA,1,2,Lífræn jörð,NA,FALSE,NA,100,32,35,40,46,NA,NA,NA,115,NA,NA,10,Jafnlendi,Yfirlit: 0366  Smáreitur: 0367  Jarðvegssýni: 0368  Auka: ,NA,1,Flói
452,148,7,Sigurður H. Magnússon,NA,NA,2,2,Lífræn jörð,NA,FALSE,NA,100,25,40,20,8,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,1,Flói
453,148,7,Sigurður H. Magnússon,NA,NA,3,2,Lífræn jörð,NA,FALSE,NA,100,22,20,27,20,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,1,Flói
454,148,7,Sigurður H. Magnússon,NA,NA,4,2,Lífræn jörð,NA,FALSE,NA,100,30,46,17,22,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,1,Flói
455,148,7,Sigurður H. Magnússon,NA,NA,5,2,Lífræn jörð,NA,FALSE,NA,100,19,20,22,23,NA,NA,NA,115,NA,NA,10,Jafnlendi,Yfirlit: 0371  Smáreitur: 0369  Jarðvegssýni: 0370  Auka: ,NA,2,Mýri
456,148,7,Sigurður H. Magnússon,NA,NA,6,2,Lífræn jörð,NA,FALSE,NA,100,40,46,47,37,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,1,Flói
457,148,7,Sigurður H. Magnússon,NA,NA,7,2,Lífræn jörð,NA,FALSE,NA,100,31,36,28,17,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,1,Flói
458,148,7,Sigurður H. Magnússon,NA,NA,8,2,Lífræn jörð,NA,FALSE,NA,100,65,46,67,65,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,1,Flói
17781,2113,24,Ásrún Elmarsdóttir,NA,NA,0,NA,NA,NA,FALSE,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11177,1399,7,Sigurður H. Magnússon,NA,NA,5,2,Lífræn jörð,NA,FALSE,NA,100,15,NA,NA,NA,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,2,Mýri
11178,1399,7,Sigurður H. Magnússon,NA,NA,6,2,Lífræn jörð,NA,FALSE,NA,100,15,NA,NA,NA,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,2,Mýri
11179,1399,7,Sigurður H. Magnússon,NA,NA,7,2,Lífræn jörð,NA,FALSE,NA,100,5,NA,NA,NA,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,2,Mýri
11180,1399,7,Sigurður H. Magnússon,NA,NA,8,2,Lífræn jörð,NA,FALSE,NA,100,15,NA,NA,NA,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,2,Mýri
17782,2114,24,Ásrún Elmarsdóttir,NA,NA,0,NA,NA,NA,FALSE,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11182,1400,7,Sigurður H. Magnússon,NA,NA,1,12,Áfoksjörð,NA,FALSE,NA,100,5,NA,NA,NA,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,3,Deiglendi
11183,1400,7,Sigurður H. Magnússon,NA,NA,2,12,Áfoksjörð,NA,FALSE,NA,100,5,NA,NA,NA,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,3,Deiglendi
11184,1400,7,Sigurður H. Magnússon,NA,NA,3,12,Áfoksjörð,NA,FALSE,NA,100,5,NA,NA,NA,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,3,Deiglendi
17783,2115,24,Ásrún Elmarsdóttir,NA,NA,0,NA,NA,NA,FALSE,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11185,1400,7,Sigurður H. Magnússon,NA,NA,4,12,Áfoksjörð,NA,FALSE,NA,100,5,NA,NA,NA,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,3,Deiglendi
7,2,25,Rannveig Thoroddsen,NA,NA,2,17,Hverajörð,NA,FALSE,NA,100,5,7,7,6,NA,NA,NA,18,30.9,28.2,9,Hlíð,NA,NA,3,Deiglendi
6,2,24,Ásrún Elmarsdóttir,NA,NA,1,17,Hverajörð,NA,FALSE,NA,99,7,6,6,5,99,NA,NA,65,28.2,27.8,10,Jafnlendi,NA,NA,3,Deiglendi
11186,1400,7,Sigurður H. Magnússon,NA,NA,5,12,Áfoksjörð,NA,FALSE,NA,100,5,NA,NA,NA,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,3,Deiglendi
11187,1400,7,Sigurður H. Magnússon,NA,NA,6,12,Áfoksjörð,NA,FALSE,NA,100,5,NA,NA,NA,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,3,Deiglendi
11188,1400,7,Sigurður H. Magnússon,NA,NA,7,12,Áfoksjörð,NA,FALSE,NA,99,5,NA,NA,NA,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,3,Deiglendi
11189,1400,7,Sigurður H. Magnússon,NA,NA,8,12,Áfoksjörð,NA,FALSE,NA,100,5,NA,NA,NA,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,3,Deiglendi
17784,2116,24,Ásrún Elmarsdóttir,NA,NA,0,NA,NA,NA,FALSE,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11191,1401,7,Sigurður H. Magnússon,NA,NA,1,12,Áfoksjörð,NA,FALSE,NA,100,5,NA,NA,NA,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,4,Þurrlendi
11192,1401,7,Sigurður H. Magnússon,NA,NA,2,12,Áfoksjörð,NA,FALSE,NA,100,5,NA,NA,NA,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,4,Þurrlendi
11193,1401,7,Sigurður H. Magnússon,NA,NA,3,12,Áfoksjörð,NA,FALSE,NA,90,5,NA,NA,NA,NA,NA,NA,115,NA,NA,8,Toppur,NA,NA,4,Þurrlendi
17785,2117,24,Ásrún Elmarsdóttir,NA,NA,0,NA,NA,NA,FALSE,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,151,7,Sigurður H. Magnússon,NA,NA,1,2,Lífræn jörð,NA,FALSE,NA,100,40,44,60,57,NA,NA,NA,115,NA,NA,10,Jafnlendi,Yfirlit: 0384  Smáreitur: 0385  Jarðvegssýni: 0386  Auka: 0387,NA,1,Flói
479,151,7,Sigurður H. Magnússon,NA,NA,2,2,Lífræn jörð,NA,FALSE,NA,98,47,45,9,11,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,1,Flói
480,151,7,Sigurður H. Magnússon,NA,NA,3,2,Lífræn jörð,NA,FALSE,NA,100,21,27,34,25,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,1,Flói
481,151,7,Sigurður H. Magnússon,NA,NA,4,2,Lífræn jörð,NA,FALSE,NA,100,13,32,40,12,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,1,Flói
482,151,7,Sigurður H. Magnússon,NA,NA,5,2,Lífræn jörð,NA,FALSE,NA,85,50,54,43,55,NA,NA,NA,115,NA,NA,10,Jafnlendi,Yfirlit: 0394  Smáreitur: 0392  Jarðvegssýni: 0393  Auka: 0391,NA,1,Flói
483,151,7,Sigurður H. Magnússon,NA,NA,6,2,Lífræn jörð,NA,FALSE,NA,98,55,53,40,46,NA,NA,NA,115,NA,NA,10,Jafnlendi,NA,NA,1,Flói
