Plot	Analyser	Subplot number	Position length (cm)	Position width (cm)	Permafrost	Soil type	Total cover (%)	Vegetation height 1 (cm)	Vegetation height 2 (cm)	Vegetation height 3 (cm)	Vegetation height 4 (cm)	Biomass	Carbon (%)	Nitrogen (%)	pH	Soil depth (cm)	Soil temperature 1	Soil temperature 2	Soil temperature 3	Soil compaction 1	Soil compaction 2	Soil compaction 3	Moisture	Topography	Stress condition	Images	Comments	Insert user	Insert time	Update user	Update time
13098 - Vöktun náttúruverndarsvæða - GD-S2 - 07-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	5	2	1	false	Hverajörð	22	0	0	0							93.1	91	80.2	4.25	3.75	4.5	Þurrlendi	Hlíð	2 Gróðurþekja tapast	8152	Rammi á stígsbrún	olgakolbrun	27-11-2020 15:52	olgakolbrun	14-12-2020 17:28
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	2	4	1	false	Hverajörð	100	8	9	9							19.7	19.5	18.4	1.5	2	0.5	Þurrlendi	Hlíð	2 Gróðurþekja tapast	8089	Rammi á brún stígs.	olgakolbrun	27-11-2020 13:23	olgakolbrun	14-12-2020 17:18
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	3	4	2	false	Hverajörð	100	8	7	7							21.5	20.7	21	0.75	0.75	0.25	Þurrlendi	Hlíð	0 Ekkert álag	8091	Rammi 2 m frá brún stígs.	olgakolbrun	27-11-2020 13:25	olgakolbrun	14-12-2020 17:18
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	1	4	0	false	Hverajörð	70	8	0	7							17.6	15.4	16	4.5	0.5	3	Þurrlendi	Hlíð	2 Gróðurþekja tapast	8087	Rammi á miðju stígs.	olgakolbrun	16-11-2020 15:46	olgakolbrun	14-12-2020 17:18
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	4	1	0	false	Hverajörð	90	8	2	3							19.9	18	19	3.75	4.5	2.75	Þurrlendi	Hlíð	2 Gróðurþekja tapast	8095	Rammi á miðju stígs	olgakolbrun	27-11-2020 14:57	olgakolbrun	14-12-2020 17:18
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	5	1	1	false	Hverajörð	100	6	6	6							22.5	22	21	0.75	0.75	0.252	Þurrlendi	Hlíð	1 Lítið álag	8096	Rammi á brún stígs	olgakolbrun	27-11-2020 14:59	olgakolbrun	14-12-2020 17:18
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	6	1	2	false	Hverajörð	97	8	11	8							23.4	22.1	23.1	1.75	0.75	0.25	Þurrlendi	Hlíð	0 Ekkert álag	8099	Rammi 2 m frá brún stígs.	olgakolbrun	27-11-2020 15:01	olgakolbrun	14-12-2020 17:18
13098 - Vöktun náttúruverndarsvæða - GD-S2 - 07-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	1	4	0	false	Hverajörð	4	0	0	0							34	46.6	65	4.5	4.5	4.5	Þurrlendi	Hlíð	4 Gróðurþekja alveg horfin	8136	Rammi á miðju stígs	olgakolbrun	27-11-2020 15:41	olgakolbrun	14-12-2020 17:27
13098 - Vöktun náttúruverndarsvæða - GD-S2 - 07-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	2	4	1	false	Hverajörð	20	0	0	0							88.2	91	98.5	4.5	2.5	4.5	Þurrlendi	Hlíð	4 Gróðurþekja alveg horfin	8143-8144	Rammi á brún stígs	olgakolbrun	27-11-2020 15:42	olgakolbrun	14-12-2020 17:27
13098 - Vöktun náttúruverndarsvæða - GD-S2 - 07-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	3	4	2	false	Hverajörð	84	0	1	0							88.4	98	99	1.5	1.5	2.25	Þurrlendi	Hlíð	2 Gróðurþekja tapast	8148	Rammi 2 m frá stígsbrún.	olgakolbrun	27-11-2020 15:44	olgakolbrun	14-12-2020 17:27
13098 - Vöktun náttúruverndarsvæða - GD-S2 - 07-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	4	2	0	false	Hverajörð	2	0	1	0							98.6	81.4	89.7	4.5	4.5	4.5	Þurrlendi	Hlíð	4 Gróðurþekja alveg horfin	8150	Rammi á miðju stígs.	olgakolbrun	27-11-2020 15:50	olgakolbrun	14-12-2020 17:28
13098 - Vöktun náttúruverndarsvæða - GD-S2 - 07-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	6	2	2	false	Hverajörð	97	2	0	0							99	99	98.9	0.75	0.25	1.75	Þurrlendi	Hlíð	4 Gróðurþekja alveg horfin	8156	Rammi 2m frá brún	olgakolbrun	27-11-2020 15:53	olgakolbrun	14-12-2020 17:28
13098 - Vöktun náttúruverndarsvæða - Lh-S1 - 25-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	1	4	0	false	Hverajörð	5	0.5	2.5	2.5							60	58	58	4.5	4.5	4.5	Þurrlendi	Jafnlendi	3 Gróðurþekja að mestu horfin	9187	Rammi á miðju stígs, lagður 20cm frá málbandinu.	nna.stella	12-04-2021 14:26	nna.stella	12-04-2021 15:14
13098 - Vöktun náttúruverndarsvæða - Lh-S1 - 25-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	2	4	1	false	Hverajörð	55	2	2.5	1							56	55.7	58.5	4.5	4.5	4.5	Þurrlendi	Jafnlendi	2 Gróðurþekja tapast	9189	Rammi á brún stígs.	nna.stella	12-04-2021 15:15	nna.stella	12-04-2021 15:36
13098 - Vöktun náttúruverndarsvæða - DettifA-S1 - 25-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	4	18	0	false		80	2	6	1	7												Þurrlendi	Jafnlendi	2 Gróðurþekja tapast	6129-6130	Upphaf sniðs í austur og endir í vestur. Rammar lagðir út sunnan sniðs.	nna.stella	04-11-2021 13:18	nna.stella	04-11-2021 14:47
13098 - Vöktun náttúruverndarsvæða - Lh-S1 - 25-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	3	4	2	false	Hverajörð	98	1	2	1							57.9	62	60	4.5	3.25	1.25	Þurrlendi	Jafnlendi	1 Lítið álag	9191	Rammi 2 m frá miðju stígs.	nna.stella	12-04-2021 15:29	nna.stella	12-04-2021 15:37
13098 - Vöktun náttúruverndarsvæða - Lh-S1 - 25-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	4	6	0	false	Hverajörð	6	1	1	1							59.7	55	61.7	4.5	4.5	4.5	Þurrlendi	Jafnlendi	3 Gróðurþekja að mestu horfin	9193	Rammiá miðju stígs.	nna.stella	12-04-2021 15:39	nna.stella	12-04-2021 15:41
13098 - Vöktun náttúruverndarsvæða - Lh-S1 - 25-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	5	6	1	false	Hverajörð	20	2	1	0.5							59.1	60.1	57.9	4.5	4.5	4.5	Þurrlendi	Jafnlendi	2 Gróðurþekja tapast	9195	Rammi á brún stígs	nna.stella	12-04-2021 15:46	nna.stella	12-04-2021 15:51
13098 - Vöktun náttúruverndarsvæða - Lh-S1 - 25-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	6	6	2	false	Hverajörð	99	3	3	1							64.2	60	61	2.25	1.75	3.25	Þurrlendi	Jafnlendi	1 Lítið álag	9197	Rammi 2 m frá miðju stígs	nna.stella	12-04-2021 15:54		
13098 - Vöktun náttúruverndarsvæða - Lh-S2 - 25-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	1	8	0	false	Hverajörð	0	0	0	0							28	31.7	29	4.5	4.5	4.5	Þurrlendi	Jafnlendi	4 Gróðurþekja alveg horfin	9225	Rammi er á miðju stígs.	nna.stella	13-04-2021 08:52	nna.stella	13-04-2021 08:58
13098 - Vöktun náttúruverndarsvæða - Lh-S2 - 25-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	2	8	1	false	Hverajörð	1	2	0	0							28.3	35.4	47.4	1.25	1.75	4.5	Þurrlendi	Jafnlendi	3 Gróðurþekja að mestu horfin	9226	Rammi er á brún stígs.	nna.stella	13-04-2021 08:59		
13098 - Vöktun náttúruverndarsvæða - Lh-S2 - 25-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	3	8	2	false	Hverajörð	30	1	1	1							37.1	38	42	0.25	0.25	0.75	Þurrlendi	Jafnlendi	1 Lítið álag	9228	Rammi 2 m frá miðju stígs.	nna.stella	13-04-2021 09:05		
13098 - Vöktun náttúruverndarsvæða - Lh-S2 - 25-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	4	4	0	false	Hverajörð	1	0	0	0							28	40.3	27.5	4.5	4.5	4.5	Þurrlendi	Jafnlendi	4 Gróðurþekja alveg horfin	9232	Rammi á miðju stígs. Gróið var <1%	nna.stella	13-04-2021 09:10		
13098 - Vöktun náttúruverndarsvæða - Lh-S2 - 25-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	5	4	1	false	Hverajörð	30	1	2	0.5							54.3	66.4	58.5	2.75	4.25	3	Þurrlendi	Jafnlendi	3 Gróðurþekja að mestu horfin	9234	Rammi á brún stígs.	nna.stella	13-04-2021 09:19		
13098 - Vöktun náttúruverndarsvæða - Lh-S2 - 25-08-2020	Olga Kolbrún Vilmundardóttir (olga@ni.is)	6	4	2	false	Hverajörð	5	1.5	1	1							51	56.4	62	0	0	0	Þurrlendi	Jafnlendi	2 Gróðurþekja tapast	9235	Rammi 2 m frá miðju stígs.	nna.stella	13-04-2021 09:25		
13098 - Vöktun náttúruverndarsvæða - DettifA-S1 - 25-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	2	11	0	false		98	6	2	6	3												Þurrlendi	Jafnlendi	1 Lítið álag	6125-6126	Upphaf sniðs í austur og endir í vestur. Rammar lagðir út sunnan sniðs	nna.stella	04-11-2021 13:10	nna.stella	04-11-2021 14:48
13098 - Vöktun náttúruverndarsvæða - DettifA-S2 - 25-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	5	26	0	false		100	2	0	0	0												Þurrlendi	Jafnlendi	2 Gróðurþekja tapast	6145-6146	Upphaf sniðs í austur og endir í vestur. Rammar lagðir niður sunnan við snið.	nna.stella	04-11-2021 13:41	nna.stella	04-11-2021 14:49
13098 - Vöktun náttúruverndarsvæða - DettifA-S2 - 25-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	1	4	0	false		40	0	0	0	0												Þurrlendi	Jafnlendi	3 Gróðurþekja að mestu horfin	6137-6138	Upphaf sniðs í austur og endir í vestur. Rammar lagðir niður sunnan við snið.	nna.stella	04-11-2021 13:26	nna.stella	04-11-2021 14:49
13098 - Vöktun náttúruverndarsvæða - DettifA-S2 - 25-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	2	8	0	false		50	0	0	0	0												Þurrlendi	Jafnlendi	3 Gróðurþekja að mestu horfin	6139-6140	Upphaf sniðs í austur og endir í vestur. Rammar lagðir niður sunnan við snið.	nna.stella	04-11-2021 13:32	nna.stella	04-11-2021 14:50
13098 - Vöktun náttúruverndarsvæða - DettifA-S2 - 25-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	3	15	0	false		60	3	8	0	0												Þurrlendi	Jafnlendi	2 Gróðurþekja tapast	6141-6142	Upphaf sniðs í austur og endir í vestur. Rammar lagðir niður sunnan við snið.	nna.stella	04-11-2021 13:35	nna.stella	04-11-2021 14:50
13098 - Vöktun náttúruverndarsvæða - DettifA-S3 - 25-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	1	5	0	false		1	0	0	0	0												Þurrlendi	Jafnlendi	4 Gróðurþekja alveg horfin	6152-6153	Upphaf sniðs í NA en endir í SV. Rammar lagðir niður sunnan við snið.	nna.stella	04-11-2021 13:46	nna.stella	04-11-2021 14:50
13098 - Vöktun náttúruverndarsvæða - DettifA-S3 - 25-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	2	11	0	false		10	0	0	5	1												Þurrlendi	Jafnlendi	3 Gróðurþekja að mestu horfin	6154-6155	Upphaf sniðs í NA en endir í SV. Rammar lagðir niður sunnan við snið.	nna.stella	04-11-2021 13:47	nna.stella	04-11-2021 14:51
13098 - Vöktun náttúruverndarsvæða - DettifA-S3 - 25-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	3	16	0	false		5	0	0	0	2												Þurrlendi	Jafnlendi	3 Gróðurþekja að mestu horfin	6156-6157	Upphaf sniðs í NA en endir í SV. Rammar lagðir niður sunnan við snið.	nna.stella	04-11-2021 13:50	nna.stella	04-11-2021 14:52
13098 - Vöktun náttúruverndarsvæða - DettifA-S3 - 25-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	4	19	0	false		20	0	6	0	0												Þurrlendi	Jafnlendi	3 Gróðurþekja að mestu horfin	6158-6159	Upphaf sniðs í NA en endir í SV. Rammar lagðir niður sunnan við snið.	nna.stella	04-11-2021 13:53	nna.stella	04-11-2021 14:52
13098 - Vöktun náttúruverndarsvæða - DettifV-S1 - 16-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	1	4	0	false		90	1	0	3	1												Þurrlendi	Jafnlendi	2 Gróðurþekja tapast	5618	Upphaf sniðs í suður og endir í norður. Rammar lagðir niður austan við snið.	nna.stella	04-11-2021 14:02	nna.stella	04-11-2021 14:53
13098 - Vöktun náttúruverndarsvæða - DettifV-S1 - 16-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	3	7	0	false		80	0	1	5	4												Þurrlendi	Jafnlendi	2 Gróðurþekja tapast	5620	Upphaf sniðs í suður og endir í norður. Rammar lagðir niður austan við snið.	nna.stella	04-11-2021 14:09	nna.stella	04-11-2021 14:53
13098 - Vöktun náttúruverndarsvæða - DettifV-S1 - 16-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	4	8	0	false		70	5	1	2	1												Þurrlendi	Jafnlendi	2 Gróðurþekja tapast	5621	Upphaf sniðs í suður og endir í norður. Rammar lagðir niður austan við snið.	nna.stella	04-11-2021 14:11	nna.stella	04-11-2021 14:54
13098 - Vöktun náttúruverndarsvæða - DettifV-S1 - 16-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	5	12	0	false		90	3	2	5	3												Þurrlendi	Jafnlendi	1 Lítið álag	5625	Upphaf sniðs er í suður og endir er í norður. Rammar lagðir niður austan við snið.	nna.stella	04-11-2021 14:13	nna.stella	04-11-2021 14:54
13098 - Vöktun náttúruverndarsvæða - DettifV-S1 - 16-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	6	13	0	false		60	0	0	1	0												Þurrlendi	Jafnlendi	3 Gróðurþekja að mestu horfin	5624	Upphaf sniðs er í suður og endir í norður. Rammar lagðir niður austan við snið.	nna.stella	04-11-2021 14:17	nna.stella	04-11-2021 14:54
13098 - Vöktun náttúruverndarsvæða - Herdubl-S3 - 12-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	2	11	0	false		100	3	2	1	2												Þurrlendi	Jafnlendi	0 Ekkert álag	5481	Upphaf sniðs er í norður og endir í suður. Rammar lagðir niður austan við bandið.	nna.stella	04-11-2021 15:13		
13098 - Vöktun náttúruverndarsvæða - DettifV-S2 - 16-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	1	2	0	false		100	11	8	11	8												Þurrlendi	Jafnlendi	0 Ekkert álag	5630	Rammar lagðir niður vestan við band.	nna.stella	04-11-2021 14:20	nna.stella	04-11-2021 14:25
13098 - Vöktun náttúruverndarsvæða - DettifV-S2 - 16-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	2	3	0	false		100	5	7	10	22												Þurrlendi	Jafnlendi	0 Ekkert álag	5631	Rammar lagðir niður vestan við band.	nna.stella	04-11-2021 14:22	nna.stella	04-11-2021 14:25
13098 - Vöktun náttúruverndarsvæða - DettifV-S2 - 16-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	3	6	0	false		100	7	10	9	17												Þurrlendi	Jafnlendi	0 Ekkert álag	5632	Rammar lagðir niður vestan við band.	nna.stella	04-11-2021 14:25		
13098 - Vöktun náttúruverndarsvæða - DettifV-S2 - 16-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	4	13	0	false		100	5	4	15	10												Þurrlendi	Jafnlendi	0 Ekkert álag	5633	Rammar lagðir niður vestan við band.	nna.stella	04-11-2021 14:26		
13098 - Vöktun náttúruverndarsvæða - DettifV-S2 - 16-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	5	15	0	false		100	9	4	11	14												Þurrlendi	Jafnlendi	0 Ekkert álag	5634	Rammar lagðir niður vestan við band.	nna.stella	04-11-2021 14:28		
13098 - Vöktun náttúruverndarsvæða - DettifV-S2 - 16-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	6	16	0	false		100	5	6	13	13												Þurrlendi	Jafnlendi	0 Ekkert álag	5636	Rammar lagðir niður vestan við band.	nna.stella	04-11-2021 14:30		
13098 - Vöktun náttúruverndarsvæða - Herdubl-S1 - 12-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	1	5	0	false		100	2	3	1	2												Þurrlendi	Jafnlendi	1 Lítið álag	5461	Upphaf sniðs er í SV en endir í NA. Rammar lagðir niður vestan við band.	nna.stella	04-11-2021 14:35		
13098 - Vöktun náttúruverndarsvæða - Herdubl-S1 - 12-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	2	6	0	false		100	2	2	1	1												Þurrlendi	Jafnlendi	1 Lítið álag	5462	Upphaf sniðs er í SV en endir í NA. Rammar lagðir niður vestan við band.	nna.stella	04-11-2021 14:36		
13098 - Vöktun náttúruverndarsvæða - Herdubl-S1 - 12-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	3	8	0	false		100	3	2	2	2												Þurrlendi	Jafnlendi	1 Lítið álag	5463	Upphaf sniðs er í SV en endir í NA. Rammar lagðir niður vestan við band.	nna.stella	04-11-2021 14:39		
13098 - Vöktun náttúruverndarsvæða - Herdubl-S1 - 12-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	4	10	0	false		100	2	0	1	3												Þurrlendi	Jafnlendi	1 Lítið álag	5464	Upphaf sniðs er í SV en endir í NA. Rammar lagðir niður vestan við band.	nna.stella	04-11-2021 14:41		
13098 - Vöktun náttúruverndarsvæða - Herdubl-S1 - 12-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	5	17	0	false		100	1	1	2	3												Þurrlendi	Jafnlendi	1 Lítið álag	5465	Upphaf sniðs er í SV en endir í NA. Rammar lagðir niður vestan við band.	nna.stella	04-11-2021 14:42		
13098 - Vöktun náttúruverndarsvæða - Herdubl-S1 - 12-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	6	18	0	false		100	1	2	1	0												Þurrlendi	Jafnlendi	1 Lítið álag	5466	Upphaf sniðs er í SV en endir í NA. Rammar lagðir niður vestan við band.	nna.stella	04-11-2021 14:44		
13098 - Vöktun náttúruverndarsvæða - DettifA-S1 - 25-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	3	15	0	false		50	1	3	0	1												Þurrlendi	Jafnlendi	2 Gróðurþekja tapast	6127-6128	Upphaf sniðs er í austur og endir í vestur. Rammar lagðir út sunnan sniðs	nna.stella	04-11-2021 13:14	nna.stella	04-11-2021 14:47
13098 - Vöktun náttúruverndarsvæða - DettifA-S1 - 25-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	1	3	0	false		100	3	3	7	4												Þurrlendi	Jafnlendi	1 Lítið álag	6123-6124	Upphaf sniðs í austur og endir í vestur. Rammar lagðir út sunnan sniðs	nna.stella	04-11-2021 12:59	nna.stella	04-11-2021 14:48
13098 - Vöktun náttúruverndarsvæða - DettifA-S1 - 25-08-2021	Sigþrúður Stella Jóhannsdóttir (stella@nna.is)	5	22	0	false		97	2	0	7	0												Þurrlendi	Jafnlendi	1 Lítið álag	6131-6132	Upphaf sniðs í austur og endir í vestur. Rammar lagðir út sunnan sniðs.	nna.stella	04-11-2021 13:23	nna.stella	04-11-2021 14:48
