Subplot	Taxon	Cover	Comments	Insert user	Insert time	Update user	Update time
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 1	Argentina anserina (Tágamura)	15-25		olgakolbrun	02-12-2020 08:07		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 1	Ranunculus acris	0.1-1.5		olgakolbrun	02-12-2020 08:09		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 1	Trifolium repens (Hvítsmári)	2.5-7.5		olgakolbrun	02-12-2020 08:10		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 1	Poa annua (Varpasveifgras)	15-25		olgakolbrun	02-12-2020 08:10		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 1	Agrostis capillaris (Hálíngresi)	25-35		olgakolbrun	02-12-2020 08:11		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 1	Anthoxanthum nipponicum	2.5-7.5	Þetta er ilmreyr, gamli Antho odo	olgakolbrun	02-12-2020 08:11		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 1	Festuca vivipara (Blávingull)	1.5-2.5		olgakolbrun	02-12-2020 08:12		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 1	Equisetum pratense (Vallelfting)	0.1-1.5		olgakolbrun	02-12-2020 08:12		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 1	Luzula multiflora	0.1-1.5		olgakolbrun	02-12-2020 08:13		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 2	Argentina anserina (Tágamura)	2.5-7.5		olgakolbrun	14-12-2020 10:08		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 2	Ranunculus acris	2.5-7.5		olgakolbrun	14-12-2020 10:09		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 2	Trifolium repens (Hvítsmári)	25-35		olgakolbrun	14-12-2020 10:09		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 2	Agrostis capillaris (Hálíngresi)	25-35		olgakolbrun	14-12-2020 10:10		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 2	Anthoxanthum nipponicum	0.1-1.5		olgakolbrun	14-12-2020 10:10		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 2	Festuca vivipara (Blávingull)	7.5-15		olgakolbrun	14-12-2020 10:11		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 2	Equisetum pratense (Vallelfting)	0.1-1.5		olgakolbrun	14-12-2020 10:11		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 2	Thymus praecox (Blóðberg)	0.1-1.5		olgakolbrun	14-12-2020 10:12		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 3	Agrostis capillaris (Hálíngresi)	0.1-1.5		olgakolbrun	14-12-2020 10:14		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 3	Festuca vivipara (Blávingull)	15-25		olgakolbrun	14-12-2020 10:14		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 3	Thymus praecox (Blóðberg)	75-85		olgakolbrun	14-12-2020 10:15		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 4	Argentina anserina (Tágamura)	1.5-2.5		olgakolbrun	14-12-2020 10:16		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 4	Ranunculus acris	1.5-2.5		olgakolbrun	14-12-2020 10:17		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 4	Trifolium repens (Hvítsmári)	15-25		olgakolbrun	14-12-2020 10:17		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 4	Poa annua (Varpasveifgras)	7.5-15		olgakolbrun	14-12-2020 10:18		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 4	Agrostis capillaris (Hálíngresi)	15-25		olgakolbrun	14-12-2020 10:18		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 4	Anthoxanthum nipponicum	0.1-1.5		olgakolbrun	14-12-2020 10:18		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 4	Festuca vivipara (Blávingull)	2.5-7.5		olgakolbrun	14-12-2020 10:19		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 4	Agrostis stolonifera (Skriðlíngresi)	2.5-7.5		olgakolbrun	14-12-2020 10:19		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 4	Plantago major (Græðisúra)	7.5-15		olgakolbrun	14-12-2020 10:19		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 4	Prunella vulgaris (Blákolla)	7.5-15		olgakolbrun	14-12-2020 10:20		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 4	Juncus alpinoarticulatus (Mýrasef)	0.1-1.5		olgakolbrun	14-12-2020 10:20		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 5	Ranunculus acris	0.1-1.5		olgakolbrun	14-12-2020 10:23		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 5	Trifolium repens (Hvítsmári)	25-35		olgakolbrun	14-12-2020 10:23		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 5	Agrostis capillaris (Hálíngresi)	2.5-7.5		olgakolbrun	14-12-2020 10:24		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 5	Festuca vivipara (Blávingull)	2.5-7.5		olgakolbrun	14-12-2020 10:24		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 5	Agrostis stolonifera (Skriðlíngresi)	65-75		olgakolbrun	14-12-2020 10:24		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 5	Plantago major (Græðisúra)	0.1-1.5		olgakolbrun	14-12-2020 10:25		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 5	Prunella vulgaris (Blákolla)	0.1-1.5		olgakolbrun	14-12-2020 10:25		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 5	Juncus alpinoarticulatus (Mýrasef)	0.1-1.5		olgakolbrun	14-12-2020 10:25		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 5	Juncus articulatus (Laugasef)	0.1-1.5		olgakolbrun	14-12-2020 10:25		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 5	Sagina procumbens (Skammkrækill)	0.1-1.5		olgakolbrun	14-12-2020 10:25		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 6	Ranunculus acris	0.1-1.5		olgakolbrun	14-12-2020 17:13		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 6	Trifolium repens (Hvítsmári)	2.5-7.5		olgakolbrun	14-12-2020 17:13		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 6	Agrostis capillaris (Hálíngresi)	2.5-7.5		olgakolbrun	14-12-2020 17:14		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 6	Anthoxanthum nipponicum	0.1-1.5		olgakolbrun	14-12-2020 17:14		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 6	Festuca vivipara (Blávingull)	35-45		olgakolbrun	14-12-2020 17:14		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 6	Thymus praecox (Blóðberg)	15-25		olgakolbrun	14-12-2020 17:15		
13098 - Vöktun náttúruverndarsvæða - GD-S1 - 07-08-2020 - 6	Prunella vulgaris (Blákolla)	0.1-1.5		olgakolbrun	14-12-2020 17:15		
13098 - Vöktun náttúruverndarsvæða - GD-S2 - 07-08-2020 - 3	Agrostis stolonifera (Skriðlíngresi)	0.1-1.5		olgakolbrun	14-12-2020 17:33		
13098 - Vöktun náttúruverndarsvæða - GD-S2 - 07-08-2020 - 3	Festuca vivipara (Blávingull)	0.1-1.5		olgakolbrun	14-12-2020 17:33		
13098 - Vöktun náttúruverndarsvæða - GD-S2 - 07-08-2020 - 6	Poa pratensis	0.1-1.5		olgakolbrun	14-12-2020 17:35		
13098 - Vöktun náttúruverndarsvæða - GD-S2 - 07-08-2020 - 5	Festuca vivipara (Blávingull)	0.1-1.5		olgakolbrun	14-12-2020 17:38		
13098 - Vöktun náttúruverndarsvæða - Lh-S1 - 25-08-2020 - 1	Agrostis stolonifera (Skriðlíngresi)	1.5-2.5		nna.stella	12-04-2021 15:00		
13098 - Vöktun náttúruverndarsvæða - Lh-S1 - 25-08-2020 - 1	Euphrasia frigida (Augnfró)	0.1-1.5		nna.stella	12-04-2021 15:07		
13098 - Vöktun náttúruverndarsvæða - Lh-S1 - 25-08-2020 - 1	Thymus praecox (Blóðberg)	0.1-1.5		nna.stella	12-04-2021 15:08		
13098 - Vöktun náttúruverndarsvæða - Lh-S1 - 25-08-2020 - 1	Cerastium fontanum (Vegarfi)	0.1-1.5		nna.stella	12-04-2021 15:09		
13098 - Vöktun náttúruverndarsvæða - Lh-S1 - 25-08-2020 - 2	Agrostis stolonifera (Skriðlíngresi)	2.5-7.5		nna.stella	12-04-2021 15:22		
13098 - Vöktun náttúruverndarsvæða - Lh-S1 - 25-08-2020 - 2	Euphrasia frigida (Augnfró)	0.1-1.5		nna.stella	12-04-2021 15:23		
13098 - Vöktun náttúruverndarsvæða - Lh-S1 - 25-08-2020 - 2	Thymus praecox (Blóðberg)	25-35		nna.stella	12-04-2021 15:23		
13098 - Vöktun náttúruverndarsvæða - Lh-S1 - 25-08-2020 - 2	Cerastium fontanum (Vegarfi)	0.1-1.5		nna.stella	12-04-2021 15:24		
13098 - Vöktun náttúruverndarsvæða - Lh-S1 - 25-08-2020 - 2	Sagina procumbens (Skammkrækill)	0.1-1.5		nna.stella	12-04-2021 15:25		
13098 - Vöktun náttúruverndarsvæða - Lh-S1 - 25-08-2020 - 2	Ophioglossum azoricum (Naðurtunga)	1.5-2.5		nna.stella	12-04-2021 15:26		
13098 - Vöktun náttúruverndarsvæða - Lh-S1 - 25-08-2020 - 3	Agrostis stolonifera (Skriðlíngresi)	0.1-1.5		nna.stella	12-04-2021 15:33		
13098 - Vöktun náttúruverndarsvæða - Lh-S1 - 25-08-2020 - 3	Thymus praecox (Blóðberg)	2.5-7.5		nna.stella	12-04-2021 15:34		
13098 - Vöktun náttúruverndarsvæða - Lh-S1 - 25-08-2020 - 4	Thymus praecox (Blóðberg)	2.5-7.5		nna.stella	12-04-2021 15:44		
13098 - Vöktun náttúruverndarsvæða - Lh-S1 - 25-08-2020 - 4	Cerastium fontanum (Vegarfi)	0.1-1.5		nna.stella	12-04-2021 15:44		
