Vistlendi;Vistgerd;ID
L01 melar;L01.01 Eyðimelavist;1
L01 melar;L01.02 Grasmelavist;2
L01 melar;L01.03 Mosamelavist;3
L01 melar;L01.04 Víðimelavist;4
L01 melar;L01.05 Sanda- og vikravist;5
L01 melar;L01.06 Landmelhólavist;122
L02 moldir;L02.01 Moldavist;18
L03 skriður;L03.01 Urðarskriðuvist;7
L03 skriður;L03.02 Grasvíðiskriðuvist;8
L03 skriður;L03.03 Ljónslappaskriðuvist;6
L04 eyrar;L04.01 Eyravist;10
L04 eyrar;L04.02 Auravist;9
L05 mosar;L05.01 Hélumosavist;11
L05 mosar;L05.02 Melagambravist;12
L05 mosar;L05.03 Hraungambravist;13
L06 hraun;L06.01 Eyðihraunavist;15
L06 hraun;L06.02 Fléttuhraunavist;14
L06 hraun;L06.03 Mosahraunavist;17
L06 hraun;L06.04 Lynghraunavist;16
L07 strendur;L07.01 Sandstrandarvist;25
L07 strendur;L07.02 Malarstrandarvist;24
L07 strendur;L07.03 Strandmelhólavist;22
L07 strendur;L07.04 Grashólavist;20
L07 strendur;L07.05 Sjávarfitjungsvist;23
L07 strendur;L07.06 Gulstararfitjavist;21
L07 strendur;L07.07 Sjávarkletta- og eyjavist;19
L08 myrar;L08.01 Dýjavist;27
L08 myrar;L08.02 Rekjuvist;33
L08 myrar;L08.03 Sandmýravist;37
L08 myrar;L08.04 Hrossanálarvist;28
L08 myrar;L08.05 Runnamýravist á hálendi;35
L08 myrar;L08.06 Runnamýravist á láglendi;34
L08 myrar;L08.07 Rimamýravist;130
L08 myrar;L08.08 Rústamýravist;36
L08 myrar;L08.09 Starungsmýravist;32
L08 myrar;L08.10 Hengistararflóavist;30
L08 myrar;L08.11 Brokflóavist;29
L08 myrar;L08.12 Starungsflóavist;31
L08 myrar;L08.13 Tjarnastararflóavist;38
L08 myrar;L08.14 Gulstararflóavist;27
L09 graslendi;L09.01 Stinnastararvist;45
L09 graslendi;L09.02 Finnungsvist;42
L09 graslendi;L09.03 Bugðupuntsvist;40
L09 graslendi;L09.04 Snarrótarvist;44
L09 graslendi;L09.05 Grasengjavist;41
L09 graslendi;L09.06 Língresis- og vingulsvist;43
L09 graslendi;L09.07 Blómgresisvist;39
L10 mólendi;L10.01 Mosamóavist;51
L10 mólendi;L10.02 Flagmóavist;52
L10 mólendi;L10.03 Starmóavist;53
L10 mólendi;L10.04 Grasmóavist;48
L10 mólendi;L10.05 Fléttumóavist;47
L10 mólendi;L10.06 Fjalldrapamóavist;46
L10 mólendi;L10.07 Lyngmóavist á hálendi;49
L10 mólendi;L10.08 Lyngmóavist á láglendi;50
L10 mólendi;L10.09 Víðimóavist;55
L10 mólendi;L10.10 Víðikjarrvist;54
L11 skógar;L11.01 Kjarrskógavist;152
L11 skógar;L11.02 Lyngskógavist;152
L11 skógar;L11.03 Blómskógavist;152
L13 jöklar;L13.01 Jöklar og urðarjökar;108
L14 manngert;L14.01 Þéttbýli og annað manngert land;150
L14 manngert;L14.02 Tún og akurlendi;67
L14 manngert;L14.03 Skógrækt;153
L14 manngert;L14.04 Alaskalúpína;160
L14 manngert;L14.05 Uppgræðslur;161
L14 manngert;L14.06 Skógarkerfill og fleiri áþekkar tegundir;162
